name,party,constituency,region
JOHN NTIM FORDJOUR,NPP,ASSIN SOUTH Constituency,Central Region
OHENEBA DOKUA ASIAMAH-ADJEI,NPP,AKROPONG Constituency,Eastern Region
OPHELIA  MENSAH,NPP,MFANTSEMAN Constituency,Central Region
OSCAR  LIWAAL,NPP,YUNYOO Constituency,North East Region
OSCAR OFORI LARBI,NDC,AOWIN Constituency,Western North Region
OSEI BONSU AMOAH,NPP,AKWAPlM SOUTH Constituency,Eastern Region
OSEI  KYEI-MENSAH-BONSU,NPP,SUAME Constituency,Ashanti Region
PATRICIA  APPIAGYEI,NPP,ASOKWA Constituency,Ashanti Region
PATRICK YAW BOAMAH,NPP,OKAIKWEI CENTRAL Constituency,Greater Accra Region
PATRICK  BANOR,NPP,ASUTIFI NORTH Constituency,Ahafo Region
PATRICK  BOAKYE-YIADOM,NPP,OBUASI EAST Constituency,Ashanti Region
LYDIA LAMISI AKANVARIBA,NDC,TEMPANE Constituency,Upper East Region
MAHAMA ASEI SEINI,NPP,DABOYA/MANKARIGU Constituency,Savanna Region
MARK KURT NAWAANE,NDC,NABDAM Constituency,Upper East Region
MARTIN ADJEI-MENSAH KORSAH,NPP,TECHIMAN SOUTH Constituency,Bono East Region
MATTHEW OPOKU PREMPEH,NPP,MANHYIA SOUTH Constituency,Ashanti Region
MAVIS  NKANSAH-BOADU,NPP,AFIGYA SEKYERE EAST Constituency,Ashanti Region
MAVIS HAWA KOOMSON,NPP,AWUTU SENYA EAST Constituency,Central Region
MICHAEL OKYERE BAAFl,NPP,NEW JUABEN SOUTH Constituency,Eastern Region
MOHAMMED ADAMU RAMADAN,NDC,ADENTAN Constituency,Greater Accra Region
MOHAMMED HARDI TUFEIRU,NPP,NANTON Constituency,Northern Region
KWADJO  ASANTE,NPP,SUHUM Constituency,Eastern Region
KWADWO NYANPON ABOAGYE,NDC,BIAKOYE Constituency,Oti Region
KWAKU  AGYEMAN-MANU,NPP,DORMAA CENTRAL Constituency,Bono Region
KWAKU AGYEMAN KWARTENG,NPP,OBUASI WEST Constituency,Ashanti Region
ALHASSAN KOBINA GHANSAH,NDC,ASIKUMA/ODOBEN/ BRAKWA Constituency,Central Region
ALHASSAN BASHIR ALHASSAN FUSEINI,NDC,SAGNARIGU Constituency,Northern Region
KWAKU  ASANTE-BOATENG,NPP,ASANTE AKIM SOUTH Constituency,Ashanti Region
KWAKU  AGYENIM-BOATENG,NPP,BEREKUM WEST Constituency,Bono Region
KWAKU  AMPRATWUM-SARPONG,NPP,MAMPONG Constituency,Ashanti Region
